# LRU
# Size 1-way 2-way 4-way 8-way Fully
4096 10.007 7.73033 6.60258 6.58377 6.69725
32768 2.94922 1.75628 1.48644 1.38747 1.34945
262144 1.38222 1.05999 0.965212 0.90519 0.888966
2097152 1.12526 0.949241 0.887008 0.880072 0.867432
