# FIFO
# Size 1-way 2-way 4-way 8-way Fully
4096 10.5392 8.1834 7.04134 7.09869 7.10956
32768 2.98657 1.9281 1.64591 1.57426 1.57136
262144 1.32733 1.06888 0.981146 0.943242 0.946993
2097152 1.12533 0.95955 0.89788 0.880072 0.879756
